code,country,firstyear,yearsparticipated,participants,male,female,distinctparticipants,timesparticipated,gold,silver,bronze,honorablemention
ALB,Albania,1993,24,131,99,32,91,1.43,0,2,8,35
ALG,Algeria,1977,20,98,48,9,92,1.06,0,2,5,13
AGO,Angola,2019,1,2,2,,2,1.00,0,0,0,0
ARG,Argentina,1988,33,195,180,15,120,1.62,6,25,65,45
ARM,Armenia,1993,29,171,109,6,104,1.64,1,26,62,43
AUS,Australia,1981,41,246,229,17,183,1.34,26,75,94,17
AUT,Austria,1970,51,326,305,21,216,1.50,13,34,109,55
AZE,Azerbaijan,1993,28,160,159,1,104,1.53,0,8,39,57
BAH,Bahrain,1990,3,18,5,1,18,1.00,0,0,0,1
BGD,Bangladesh,2005,17,93,83,10,51,1.82,1,7,31,33
BLR,Belarus,1993,29,172,96,20,120,1.43,15,55,77,17
BEL,Belgium,1969,43,263,118,14,215,1.22,1,18,69,64
BEN,Benin,2009,2,5,3,2,5,1.00,0,0,0,0
BOL,Bolivia,1997,17,77,59,18,67,1.14,0,0,0,12
BIH,Bosnia and Herzegovina,1993,29,166,135,31,102,1.62,0,6,55,59
BWA,Botswana,2015,7,38,27,11,26,1.46,0,0,0,3
BRA,Brazil,1979,42,249,233,10,178,1.39,11,52,84,34
BRU,Brunei,2000,1,2,,,2,1.00,0,0,0,0
BGR,Bulgaria,1959,62,414,370,37,298,1.38,55,123,114,13
BFA,Burkina Faso,2014,1,6,5,1,6,1.00,0,0,0,1
KHM,Cambodia,2007,9,52,40,12,52,1.00,0,0,0,14
CAN,Canada,1981,41,246,229,17,162,1.51,39,61,94,19
CHI,Chile,1994,18,73,63,10,60,1.21,0,3,6,27
CHN,People's Republic of China,1985,36,212,203,9,200,1.06,168,36,6,0
COL,Colombia,1981,41,244,226,18,147,1.65,1,19,77,48
CIS,Commonwealth of Independent States,1992,1,6,6,,6,1.00,2,3,0,1
CRI,Costa Rica,2005,17,89,76,13,58,1.53,0,1,18,38
HRV,Croatia,1993,29,174,151,23,106,1.64,6,26,77,37
CUB,Cuba,1971,43,163,74,5,135,1.20,1,7,37,26
CYP,Cyprus,1984,37,210,189,21,135,1.55,0,4,20,49
CZE,Czech Republic,1993,29,174,166,8,120,1.45,7,36,72,39
CZS,Czechoslovakia,1959,33,237,208,6,170,1.39,10,50,73,2
DEN,Denmark,1991,31,180,168,12,126,1.42,1,6,37,50
DOM,Dominican Republic,2019,1,5,4,1,5,1.00,0,0,0,0
ECU,Ecuador,1988,23,132,99,16,84,1.57,0,0,11,34
EGY,Egypt,2016,5,18,15,3,18,1.00,0,0,0,1
EST,Estonia,1993,29,171,150,21,88,1.94,0,9,32,61
FIN,Finland,1965,48,302,270,32,217,1.39,1,10,54,64
FRA,France,1967,52,331,293,13,269,1.23,26,65,121,27
GMB,Gambia,2014,1,6,5,1,6,1.00,0,0,0,0
GEO,Georgia,1993,29,174,165,9,108,1.61,4,23,71,51
GDR,German Democratic Republic,1959,29,210,195,15,157,1.33,26,62,60,0
GER,Germany,1977,44,270,260,10,171,1.57,53,105,83,16
GHA,Ghana,2014,8,28,19,9,22,1.27,0,0,1,2
HEL,Greece,1975,43,264,133,14,191,1.38,3,28,75,61
GTM,Guatemala,1997,14,53,42,11,44,1.20,0,0,1,6
HND,Honduras,2008,11,31,29,2,25,1.24,0,0,1,8
HKG,Hong Kong,1988,34,204,192,12,137,1.48,12,57,87,24
HUN,Hungary,1959,61,402,385,17,259,1.55,85,168,107,10
ISL,Iceland,1985,37,197,172,25,129,1.52,0,1,11,40
IND,India,1989,32,192,183,8,138,1.39,13,71,72,28
IDN,Indonesia,1988,33,194,114,9,144,1.34,5,28,51,32
IRQ,Iraq,2016,6,32,29,3,26,1.23,0,0,1,3
IRN,Islamic Republic of Iran,1985,36,211,203,8,189,1.11,46,103,48,4
IRL,Ireland,1988,34,204,174,30,145,1.40,0,2,10,50
ISR,Israel,1979,40,238,222,7,140,1.70,18,59,102,23
ITA,Italy,1967,42,245,230,9,173,1.41,18,47,73,35
CIV,Ivory Coast,2010,6,33,30,3,28,1.17,0,1,0,8
JAM,Jamaica,2016,1,1,1,,1,1.00,0,0,0,0
JPN,Japan,1990,32,192,189,3,132,1.45,43,89,49,5
KAZ,Kazakhstan,1993,28,168,164,4,122,1.37,16,39,68,28
KEN,Kenya,2016,5,25,19,6,24,1.04,0,0,0,0
PRK,Democratic People's Republic of Korea,1990,14,84,60,,57,1.47,22,36,9,2
KOR,Republic of Korea,1988,34,204,193,11,154,1.32,86,74,28,7
KSV,Kosovo,2011,10,59,50,9,42,1.40,0,0,2,20
KWT,Kuwait,1982,28,126,41,10,123,1.02,0,0,1,1
KGZ,Kyrgyzstan,1993,29,158,146,12,120,1.31,0,1,12,45
LAO,Laos,2016,1,6,2,4,6,1.00,0,0,0,0
LVA,Latvia,1993,29,174,148,26,111,1.56,1,11,41,61
LIE,Liechtenstein,2005,12,20,13,7,12,1.66,0,1,4,3
LTU,Lithuania,1993,29,174,158,16,107,1.62,1,8,52,56
LUX,Luxembourg,1979,36,96,82,14,50,1.92,2,5,23,23
MAC,Macau,1990,30,179,93,15,118,1.51,2,4,31,56
MDG,Madagascar,2016,1,5,3,2,5,1.00,0,0,0,0
MAS,Malaysia,1995,27,148,116,5,81,1.82,4,15,27,38
MRT,Mauritania,2009,2,12,12,,12,1.00,0,0,0,0
MEX,Mexico,1981,36,214,206,8,155,1.38,4,28,72,40
MDA,Republic of Moldova,1993,29,164,155,9,76,2.15,5,23,53,45
MNG,Mongolia,1964,50,326,94,14,272,1.19,6,28,71,55
MNE,Montenegro,2007,15,55,42,13,34,1.61,0,3,2,16
MAR,Morocco,1983,39,231,114,10,204,1.13,0,4,35,74
MOZ,Mozambique,2004,3,11,8,3,8,1.37,0,0,0,0
MMR,Myanmar,2016,5,30,25,5,30,1.00,0,0,0,6
NPL,Nepal,2017,5,30,29,1,26,1.15,0,0,0,2
NLD,Netherlands,1969,51,328,310,18,250,1.31,10,33,84,48
NZL,New Zealand,1988,34,204,178,24,136,1.50,2,11,58,57
NIC,Nicaragua,1987,8,35,29,,22,1.59,0,0,3,16
NGA,Nigeria,2006,14,72,66,6,44,1.63,0,0,5,16
MKD,North Macedonia,1993,29,170,134,36,98,1.73,0,6,46,44
NOR,Norway,1984,38,220,202,18,145,1.51,3,15,37,42
OMN,Oman,2020,2,12,5,7,11,1.09,0,0,0,0
PAK,Pakistan,2005,16,89,79,10,76,1.17,0,1,7,19
PAN,Panama,1987,14,43,36,1,34,1.26,0,0,5,13
PAR,Paraguay,1997,23,113,81,17,79,1.43,0,1,11,19
PER,Peru,1987,28,153,113,7,99,1.54,5,37,54,33
PHI,Philippines,1988,33,168,158,8,113,1.48,4,16,35,26
POL,Poland,1959,61,400,390,10,306,1.30,33,89,137,27
POR,Portugal,1989,33,197,187,10,131,1.50,3,7,37,40
PRI,Puerto Rico,1997,22,95,54,19,73,1.30,1,1,7,16
ROU,Romania,1959,62,410,355,15,289,1.41,78,149,110,7
RUS,Russian Federation,1992,30,180,168,12,143,1.25,106,62,12,0
RWA,Rwanda,2021,1,6,3,3,6,1.00,0,0,0,0
SLV,El Salvador,2005,16,59,55,4,39,1.51,0,0,6,29
SAU,Saudi Arabia,2004,17,97,85,8,71,1.36,0,8,34,16
SRB,Serbia,2006,16,96,85,11,50,1.92,16,30,33,13
SCG,Serbia and Montenegro,2003,3,18,16,2,11,1.63,0,5,7,3
SGP,Singapore,1988,34,204,193,9,132,1.54,22,62,73,21
SVK,Slovakia,1993,29,174,155,19,105,1.65,5,39,78,34
SVN,Slovenia,1993,29,171,143,28,103,1.66,1,7,39,65
SAF,South Africa,1992,30,180,161,19,97,1.85,1,9,52,67
ESP,Spain,1983,39,228,219,9,186,1.22,0,7,56,59
LKA,Sri Lanka,1995,26,129,96,8,85,1.51,0,0,23,53
SWE,Sweden,1967,54,349,322,27,256,1.36,7,33,84,56
SUI,Switzerland,1991,31,167,150,17,103,1.62,1,13,55,41
SYR,Syria,2009,13,75,67,8,47,1.59,0,5,10,30
TWN,Taiwan,1992,30,180,113,3,133,1.35,42,97,32,8
TJK,Tajikistan,2005,17,98,98,,54,1.81,0,5,24,45
TZA,Tanzania,2014,7,23,22,1,20,1.15,0,0,0,1
THA,Thailand,1989,33,198,131,4,131,1.51,30,62,50,23
TTO,Trinidad and Tobago,1991,31,166,86,21,93,1.78,0,2,5,29
TUN,Tunisia,1981,30,144,84,8,128,1.12,1,6,17,35
TUR,Turkey,1978,38,230,221,9,164,1.40,19,63,92,14
NCY,Turkish Republic of Northern Cyprus,1993,1,6,3,3,6,1.00,0,0,0,0
TKM,Turkmenistan,1993,23,122,101,2,85,1.43,0,4,32,44
UGA,Uganda,2012,10,53,39,14,41,1.29,0,0,0,5
UKR,Ukraine,1993,29,174,154,20,132,1.31,42,71,46,9
UAE,United Arab Emirates,2008,4,20,5,15,18,1.11,0,0,0,0
UNK,United Kingdom,1967,54,350,331,18,249,1.40,51,116,126,18
USA,United States of America,1974,47,294,289,5,200,1.47,137,117,29,1
URY,Uruguay,1987,24,109,82,6,72,1.51,0,0,2,26
USS,Union of Soviet Socialist Republics,1959,29,204,195,9,190,1.07,77,67,45,0
UZB,Uzbekistan,1997,20,112,79,5,90,1.24,0,10,28,42
VEN,Venezuela,1981,28,84,37,21,57,1.47,0,2,5,26
VNM,Vietnam,1974,45,270,127,9,245,1.10,65,111,78,2
YUG,Yugoslavia,1963,37,256,232,24,193,1.32,6,46,96,7
ZWE,Zimbabwe,2009,2,8,8,,8,1.00,0,0,0,0